194,Difford: sequencing batch 2
194_c,Difford: sequencing batch 8
195,Difford: sequencing batch 2
195_c,Difford: sequencing batch 8
196,Difford: sequencing batch 2
196_c,Difford: sequencing batch 8
197,Difford: sequencing batch 2
198,Difford: sequencing batch 2
199,Difford: sequencing batch 2
199_c,Difford: sequencing batch 8
19_J,Difford: sequencing batch 9
200,Difford: sequencing batch 2
200_c,Difford: sequencing batch 8
201,Difford: sequencing batch 2
201_c,Difford: sequencing batch 8
202,Difford: sequencing batch 2
202_c,Difford: sequencing batch 8
203,Difford: sequencing batch 2
203_c,Difford: sequencing batch 8
204,Difford: sequencing batch 2
204_c,Difford: sequencing batch 8
205,Difford: sequencing batch 2
206_c,Difford: sequencing batch 8
207,Difford: sequencing batch 2
208,Difford: sequencing batch 2
209,Difford: sequencing batch 2
20_J,Difford: sequencing batch 9
210,Difford: sequencing batch 2
211,Difford: sequencing batch 2
212,Difford: sequencing batch 2
213,Difford: sequencing batch 2
214,Difford: sequencing batch 2
215,Difford: sequencing batch 2
216,Difford: sequencing batch 2
217,Difford: sequencing batch 2
219,Difford: sequencing batch 2
220,Difford: sequencing batch 2
221,Difford: sequencing batch 2
222,Difford: sequencing batch 2
223,Difford: sequencing batch 2
224,Difford: sequencing batch 2
225,Difford: sequencing batch 2
226,Difford: sequencing batch 2
227,Difford: sequencing batch 2
228,Difford: sequencing batch 2
229,Difford: sequencing batch 2
22_J,Difford: sequencing batch 9
230,Difford: sequencing batch 2
231,Difford: sequencing batch 2
232,Difford: sequencing batch 2
233,Difford: sequencing batch 2
234,Difford: sequencing batch 2
235,Difford: sequencing batch 2
238,Difford: sequencing batch 2
239,Difford: sequencing batch 2
23_J,Difford: sequencing batch 9
240,Difford: sequencing batch 2
241,Difford: sequencing batch 2
242,Difford: sequencing batch 2
243,Difford: sequencing batch 2
244,Difford: sequencing batch 2
245,Difford: sequencing batch 2
246,Difford: sequencing batch 2
247,Difford: sequencing batch 2
248,Difford: sequencing batch 2
24_J,Difford: sequencing batch 9
250,Difford: sequencing batch 2
251,Difford: sequencing batch 2
252,Difford: sequencing batch 2
253,Difford: sequencing batch 2
254,Difford: sequencing batch 2
255,Difford: sequencing batch 2
256,Difford: sequencing batch 2
257,Difford: sequencing batch 2
258,Difford: sequencing batch 2
259,Difford: sequencing batch 5
25_J,Difford: sequencing batch 9
261,Difford: sequencing batch 5
262,Difford: sequencing batch 5
263,Difford: sequencing batch 5
264,Difford: sequencing batch 5
265,Difford: sequencing batch 5
266,Difford: sequencing batch 5
267,Difford: sequencing batch 5
26_J,Difford: sequencing batch 9
270,Difford: sequencing batch 5
272,Difford: sequencing batch 5
