sample_id Sequencing_Instrument Sequencing_Batch herd Lactatation days_in_milk methane_grams_per_day
267 1 5 2 3 92 402
270 1 5 2 2 18 294
272 1 5 2 3 35 336
273 1 5 2 2 85 361
275 1 5 2 2 38 342
277 1 5 2 3 39 334
278 1 5 2 2 49 398
279 1 5 2 2 33 423
280 1 5 2 2 87 446
281 1 5 2 3 72 417
282 1 5 2 2 78 382
283 1 5 2 2 82 504
284 1 5 2 2 110 321
285 1 5 2 3 80 417
286 1 5 2 3 79 372
287 1 5 2 2 79 518
288 1 5 2 3 77 428
289 1 5 2 2 70 367
290 1 5 2 2 25 426
291 1 5 2 2 57 364
292 1 5 2 2 53 341
293 1 5 2 2 50 567
294 1 5 2 2 11 400
295 1 5 2 2 50 402
296 1 5 2 2 67 445
297 1 5 2 2 52 430
299 1 5 2 2 63 338
300 1 5 2 2 14 363
301 1 5 2 2 49 462
302 1 5 2 1 207 449
303 1 5 2 2 7 514
304 1 5 2 2 114 439
305 1 5 2 2 71 451
307 1 5 2 2 59 360
309 1 5 2 1 106 349
310 1 5 2 2 64 435
311 1 5 2 1 123 408
312 1 5 2 2 65 427
313 1 5 2 2 52 440
314 1 5 2 2 38 373
315 1 5 2 1 116 383
316 1 5 2 1 68 448
317 1 5 2 1 55 316
318 1 5 2 2 54 409
319 1 5 2 2 61 387
320 1 5 2 1 17 376
322 1 5 2 2 63 644
323 1 5 2 1 45 292
324 1 5 2 1 47 366
325 1 5 2 1 104 345
326 1 5 2 1 76 465
327 1 5 2 1 80 333
328 1 5 2 2 78 451
329 1 5 2 1 82 424
330 1 5 2 1 83 420
331 1 5 2 1 81 455
332 1 5 2 1 65 494
333 1 5 2 1 85 334
334 1 5 2 1 62 359
335 1 5 2 1 50 423
336 1 5 2 1 74 315
337 1 5 2 1 58 406
338 1 5 2 1 64 365
339 1 5 2 1 34 474
340 1 5 2 1 17 388
341 1 5 2 1 43 416
342 1 5 2 1 49 347
343 1 5 2 1 22 332
344 1 5 2 1 31 349
345 1 5 2 1 43 302
346 1 5 2 1 39 423
347 1 5 2 1 23 464
348 1 5 2 1 35 386
349 1 5 2 1 36 490
350 1 5 2 1 16 332
351 1 5 2 1 22 453
352 1 5 2 1 28 398
353 1 5 2 1 24 317
361 1 5 2 1 145 382
360 1 5 2 1 29 401
354 1 5 2 1 54 366
355 1 5 2 1 26 333
431 1 3 3 5 174 352
384 1 3 3 6 42 338
373 1 3 3 5 150 424
396 1 3 3 5 75 394
394 1 3 3 4 96 342
419 1 3 3 4 146 421
406 1 3 3 3 164 492
411 1 3 3 5 98 378
392 1 3 3 4 307 458
412 1 3 3 4 66 372
374 1 3 3 2 373 318
401 1 3 3 4 80 379
465 1 4 3 3 176 581
386 1 3 3 3 103 320
473 1 4 3 4 36 475
457 1 3 3 3 157 405
381 1 3 3 3 82 375
459 1 3 3 4 259 385
403 1 3 3 3 156 388
389 1 3 3 3 89 393
416 1 3 3 3 27 372
405 1 3 3 4 92 392
455 1 3 3 3 60 388
397 1 3 3 4 85 501
464 1 4 3 3 121 320
438 1 3 3 3 83 460
497 1 4 3 3 18 434
441 1 3 3 2 224 396
489 1 4 3 3 71 338
429 1 3 3 3 41 337
377 1 3 3 3 51 418
391 1 3 3 4 50 487
367 1 3 3 3 154 344
363 1 5 3 3 49 405
442 1 3 3 3 68 398
483 1 4 3 3 95 371
436 1 3 3 3 58 364
453 1 3 3 3 39 401
434 1 3 3 3 74 341
414 1 3 3 3 2 409
425 1 3 3 3 29 321
501 1 4 3 3 48 376
518 1 4 3 3 61 435
409 1 3 3 3 21 431
511 1 4 3 3 76 404
420 1 3 3 3 59 367
422 1 3 3 3 14 349
470 1 4 3 3 52 350
368 1 3 3 3 37 370
503 1 4 3 3 52 386
492 1 4 3 3 57 321
504 1 4 3 2 68 306
388 1 3 3 2 121 341
462 1 3 3 2 134 388
390 1 3 3 3 59 321
435 1 3 3 2 85 314
491 1 4 3 3 56 448
365 1 5 3 3 254 330
417 1 3 3 3 55 433
407 1 3 3 2 122 476
520 1 4 3 2 87 320
507 1 4 3 2 136 390
517 1 4 3 2 33 318
410 1 3 3 3 50 379
479 1 4 3 2 77 356
433 1 3 3 2 80 304
418 1 3 3 3 70 322
380 1 3 3 2 160 320
382 1 3 3 3 80 388
486 1 4 3 3 73 415
456 1 3 3 2 93 455
502 1 4 3 2 41 330
482 1 4 3 2 85 424
458 1 3 3 2 49 308
514 1 4 3 2 88 434
393 1 3 3 3 69 307
467 1 4 3 2 56 490
516 1 4 3 2 90 371
427 1 3 3 2 68 431
480 1 4 3 2 78 367
413 1 3 3 2 55 435
513 1 4 3 2 42 388
461 1 3 3 3 83 484
398 1 3 3 2 47 555
449 1 3 3 2 17 383
485 1 4 3 2 39 472
506 1 4 3 2 56 411
376 1 3 3 2 39 450
370 1 3 3 2 57 390
484 1 4 3 2 5 368
421 1 3 3 2 87 447
383 1 3 3 1 190 332
395 1 3 3 2 49 401
402 1 3 3 2 46 371
424 1 3 3 2 26 388
471 1 4 3 2 18 439
399 1 3 3 2 25 482
490 1 4 3 1 70 331
428 1 3 3 2 1 408
404 1 3 3 2 10 376
439 1 3 3 2 49 269
385 1 3 3 2 49 348
454 1 3 3 2 189 394
478 1 4 3 2 39 322
476 1 4 3 1 89 502
468 1 4 3 1 160 306
474 1 4 3 1 67 469
445 1 3 3 2 94 489
510 1 4 3 2 54 366
493 1 4 3 2 77 417
408 1 3 3 1 19 359
451 1 3 3 2 78 309
447 1 3 3 2 89 371
472 1 4 3 1 77 423
499 1 4 3 2 56 391
387 1 3 3 2 86 518
446 1 3 3 1 76 384
512 1 4 3 2 55 473
469 1 4 3 2 63 374
463 1 4 3 1 98 345
460 1 3 3 1 94 407
477 1 4 3 2 84 373
488 1 4 3 1 75 379
481 1 4 3 1 91 341
494 1 4 3 1 82 310
444 1 3 3 1 73 386
426 1 3 3 1 89 340
372 1 3 3 1 73 346
430 1 3 3 1 72 385
466 1 4 3 1 78 447
505 1 4 3 1 77 318
500 1 4 3 1 16 349
364 1 5 3 1 21 344
515 1 4 3 1 47 344
440 1 3 3 1 61 410
371 1 3 3 1 42 421
448 1 3 3 1 37 466
452 1 3 3 1 28 293
519 1 4 3 1 52 456
487 1 4 3 1 64 352
508 1 4 3 1 23 422
366 1 5 3 1 23 338
375 1 3 3 1 49 405
443 1 3 3 1 97 404
378 1 3 3 1 112 486
369 1 3 3 1 16 466
450 1 3 3 1 23 401
509 1 4 3 1 10 344
437 1 3 3 1 154 318
475 1 4 3 1 62 477
498 1 4 3 1 54 395
432 1 3 3 1 92 339
495 1 4 3 1 35 422
423 1 3 3 1 76 377
496 1 4 3 1 57 467
415 1 3 3 1 45 381
356 1 5 2 2 72 308
359 1 5 2 2 91 470
767 2 8 4 3 132 388
659 2 6 4 4 91 330
741 2 7 4 4 127 359
707 2 9 4 4 90 410
745 2 7 4 3 95 382
718 2 7 4 3 113 344
664 2 6 4 3 49 325
764 2 8 4 3 107 352
742 2 7 4 3 82 385
766 2 8 4 3 45 358
759 2 8 4 3 94 439
737 2 7 4 3 99 370
735 2 7 4 3 65 392
738 2 7 4 3 32 487
740 2 7 4 3 67 448
729 2 7 4 3 85 370
753 2 7 4 3 66 509
760 2 8 4 3 22 352
661 2 6 4 3 43 428
746 2 7 4 3 79 363
752 2 7 4 3 62 429
770 2 8 4 3 156 530
719 2 7 4 3 62 324
757 2 7 4 3 31 469
727 2 7 4 2 149 400
728 2 7 4 3 77 293
772 2 8 4 3 39 328
667 2 7 4 3 55 324
769 2 8 4 3 94 452
691 2 9 4 3 53 450
762 2 8 4 3 45 358
713 2 7 4 3 57 496
711 2 7 4 3 132 403
712 2 7 4 3 22 321
748 2 7 4 3 198 384
701 2 9 4 3 25 375
716 2 7 4 3 22 385
771 2 8 4 3 25 350
715 2 7 4 3 28 376
703 2 9 4 2 81 405
743 2 7 4 3 194 410
702 2 9 4 3 25 443
655 2 6 4 3 114 429
684 2 7 4 3 104 502
709 2 9 4 2 130 357
755 2 7 4 3 34 403
775 2 8 4 3 12 341
706 2 9 4 1 351 357
717 2 7 4 3 79 430
768 2 8 4 2 138 434
650 2 6 4 2 13 527
726 2 7 4 2 79 455
725 2 7 4 2 66 427
723 2 7 4 2 81 365
646 2 6 4 2 94 547
750 2 7 4 2 83 390
705 2 9 4 2 81 409
663 2 6 4 3 101 349
739 2 7 4 2 72 472
708 2 9 4 2 60 496
732 2 7 4 2 168 359
672 2 7 4 2 105 406
720 2 7 4 2 64 348
697 2 9 4 2 7 335
668 2 7 4 2 62 396
754 2 7 4 2 34 365
704 2 9 4 2 29 520
747 2 7 4 2 102 347
714 2 7 4 2 47 388
736 2 7 4 2 14 463
734 2 7 4 2 67 381
765 2 8 4 2 77 353
761 2 8 4 2 34 403
699 2 9 4 2 123 336
722 2 7 4 2 45 544
751 2 7 4 2 54 430
721 2 7 4 2 20 432
733 2 7 4 2 34 294
744 2 7 4 2 18 439
700 2 9 4 2 5 346
758 2 7 4 2 37 320
749 2 7 4 2 19 372
774 2 8 4 2 33 370
698 2 9 4 2 22 390
677 2 7 4 2 26 319
756 2 7 4 2 148 403
730 2 7 4 2 15 318
724 2 7 4 2 31 411
773 2 8 4 2 194 372
645 2 6 4 1 19 393
710 2 9 4 1 87 449
674 2 7 4 2 96 373
662 2 6 4 1 116 498
637 2 6 4 1 89 442
642 2 6 4 1 93 470
631 2 6 4 1 49 387
694 2 9 4 1 67 385
763 2 8 4 1 103 388
648 2 6 4 1 63 331
683 2 7 4 1 74 367
689 2 9 4 1 62 515
669 2 7 4 1 66 369
660 2 6 4 2 95 375
671 2 7 4 2 87 325
696 2 9 4 1 95 571
633 2 6 4 2 96 418
629 2 6 4 1 108 302
618 2 6 4 1 104 404
690 2 9 4 1 92 454
639 2 6 4 1 99 411
635 2 6 4 1 57 414
644 2 6 4 1 86 423
687 2 9 4 1 32 414
630 2 6 4 2 80 415
647 2 6 4 1 81 415
627 2 6 4 1 92 600
641 2 6 4 1 81 507
678 2 7 4 1 13 319
676 2 7 4 1 80 498
686 2 7 4 1 71 499
685 2 7 4 1 52 315
731 2 7 4 1 61 370
634 2 6 4 1 79 445
623 2 6 4 1 46 318
670 2 7 4 1 59 424
654 2 6 4 1 23 361
617 2 6 4 1 54 438
680 2 7 4 1 79 397
656 2 6 4 1 62 350
666 2 7 4 1 48 416
679 2 7 4 1 58 442
640 2 6 4 1 57 440
628 2 6 4 1 56 334
649 2 6 4 1 58 372
643 2 6 4 1 43 410
616 2 10 4 1 26 361
653 2 6 4 1 45 408
621 2 6 4 1 31 455
638 2 6 4 1 28 363
692 2 9 4 1 34 385
658 2 6 4 1 26 336
693 2 9 4 1 32 429
636 2 6 4 1 36 413
688 2 9 4 1 33 366
